OSI,Points:0,Points:1,Points:2
0.000457178,0.0516035,-0.00153165,-0.000737603
0.000448276,0.0516035,-0.0016046,-0.000561475
0.000435887,0.0516035,-0.00165738,-0.000378286
0.000421408,0.0516035,-0.00168931,-0.00019034
0.000421445,0.0516035,0.00168931,-0.00019034
0.000435924,0.0516035,0.00165738,-0.000378286
0.000448312,0.0516035,0.0016046,-0.000561475
0.000457213,0.0516035,0.00153165,-0.000737603
0.000462985,0.0516035,0.00143943,-0.000904455
0.00046619,0.0516035,0.00132911,-0.00105993
0.000467214,0.0516035,0.00120208,-0.00120208
0.000466187,0.0516035,0.00105993,-0.00132911
0.000462979,0.0516035,0.000904455,-0.00143943
0.000457204,0.0516035,0.000737603,-0.00153165
0.000448301,0.0516035,0.000561475,-0.0016046
0.00043591,0.0516035,0.000378286,-0.00165738
0.000421429,0.0516035,0.00019034,-0.00168931
0.000414056,0.0519858,-1.11657e-17,0.0017
0.000421454,0.0519858,0.00019034,0.00168931
0.000435937,0.0519858,0.000378286,0.00165738
0.000448328,0.0519858,0.000561475,0.0016046
0.000457233,0.0519858,0.000737603,0.00153165
0.000463009,0.0519858,0.000904455,0.00143943
0.000466218,0.0519858,0.00105993,0.00132911
0.000467245,0.0519858,0.00120208,0.00120208
0.000466223,0.0519858,0.00132911,0.00105993
0.000463018,0.0519858,0.00143943,0.000904455
0.000457245,0.0519858,0.00153165,0.000737603
0.000448345,0.0519858,0.0016046,0.000561475
0.000435957,0.0519858,0.00165738,0.000378286
0.000421477,0.0519858,0.00168931,0.00019034
0.000414083,0.0519858,0.0017,-3.77476e-19
0.000414032,0.0519858,-0.0017,3.77476e-19
0.000421427,0.0519858,-0.00168931,0.00019034
0.000435907,0.0519858,-0.00165738,0.000378286
0.000448295,0.0519858,-0.0016046,0.000561475
0.000457197,0.0519858,-0.00153165,0.000737603
0.000462972,0.0519858,-0.00143943,0.000904455
0.000466182,0.0519858,-0.00132911,0.00105993
0.000467208,0.0519858,-0.00120208,0.00120208
0.000466185,0.0519858,-0.00105993,0.00132911
0.000462981,0.0519858,-0.000904455,0.00143943
0.00045721,0.0519858,-0.000737603,0.00153165
0.000448312,0.0519858,-0.000561475,0.0016046
0.000435926,0.0519858,-0.000378286,0.00165738
0.000421449,0.0519858,-0.00019034,0.00168931
0.000414054,0.0519858,-1.19206e-17,-0.0017
0.000421447,0.0519858,-0.00019034,-0.00168931
0.000435926,0.0519858,-0.000378286,-0.00165738
0.000448312,0.0519858,-0.000561475,-0.0016046
0.00045721,0.0519858,-0.000737603,-0.00153165
0.000462981,0.0519858,-0.000904455,-0.00143943
0.000466185,0.0519858,-0.00105993,-0.00132911
0.000467208,0.0519858,-0.00120208,-0.00120208
0.000466182,0.0519858,-0.00132911,-0.00105993
0.000462972,0.0519858,-0.00143943,-0.000904455
0.000457197,0.0519858,-0.00153165,-0.000737603
0.000448295,0.0519858,-0.0016046,-0.000561475
0.000435907,0.0519858,-0.00165738,-0.000378286
0.000421427,0.0519858,-0.00168931,-0.00019034
0.000421477,0.0519858,0.00168931,-0.00019034
0.000435957,0.0519858,0.00165738,-0.000378286
0.000448345,0.0519858,0.0016046,-0.000561475
0.000457245,0.0519858,0.00153165,-0.000737603
0.000463018,0.0519858,0.00143943,-0.000904455
0.000466222,0.0519858,0.00132911,-0.00105993
0.000467245,0.0519858,0.00120208,-0.00120208
0.000466218,0.0519858,0.00105993,-0.00132911
0.000463009,0.0519858,0.000904455,-0.00143943
