U:0,U:1,U:2,Points:0,Points:1,Points:2
0.0444996,1.33091e-08,1.89079e-11,0.00203248,0.0002,4e-05
0.0444997,1.31152e-08,1.88952e-11,0.00204324,0.0002,4e-05
0.0444997,1.29135e-08,1.8884e-11,0.00205399,0.0002,4e-05
0.0444997,1.28073e-08,1.8742e-11,0.00206474,0.0002,4e-05
0.0444998,1.25589e-08,1.78443e-11,0.0020755,0.0002,4e-05
0.0444998,1.24623e-08,1.70507e-11,0.00208625,0.0002,4e-05
0.0444998,1.22535e-08,1.6054e-11,0.00209701,0.0002,4e-05
0.0444998,1.2101e-08,1.50613e-11,0.00210776,0.0002,4e-05
0.0444999,1.19667e-08,1.45244e-11,0.00211851,0.0002,4e-05
0.0444999,1.1756e-08,1.44866e-11,0.00212927,0.0002,4e-05
0.0444999,1.16834e-08,1.44552e-11,0.00214002,0.0002,4e-05
0.0444999,1.14614e-08,1.43874e-11,0.00215077,0.0002,4e-05
0.0445,1.13819e-08,1.43394e-11,0.00216153,0.0002,4e-05
0.0445,1.12086e-08,1.36532e-11,0.00217228,0.0002,4e-05
0.0445,1.1082e-08,1.27883e-11,0.00218304,0.0002,4e-05
0.0445,1.09658e-08,1.22639e-11,0.00219379,0.0002,4e-05
0.0445001,1.08029e-08,1.21029e-11,0.00220454,0.0002,4e-05
0.0445001,1.07475e-08,1.20887e-11,0.0022153,0.0002,4e-05
0.0445001,1.05586e-08,1.26319e-11,0.00222605,0.0002,4e-05
0.0445001,1.0542e-08,1.30427e-11,0.00223681,0.0002,4e-05
0.0445002,1.03671e-08,1.31563e-11,0.00224756,0.0002,4e-05
0.0445002,1.03302e-08,1.30431e-11,0.00225831,0.0002,4e-05
0.0445002,1.02112e-08,1.28715e-11,0.00226907,0.0002,4e-05
0.0445002,1.01522e-08,1.28021e-11,0.00227982,0.0002,4e-05
0.0445003,1.00743e-08,1.32752e-11,0.00229058,0.0002,4e-05
0.0445003,9.99871e-09,1.40474e-11,0.00230133,0.0002,4e-05
0.0445003,9.98455e-09,1.27827e-11,0.00231208,0.0002,4e-05
0.0445003,9.9075e-09,8.67046e-12,0.00232284,0.0002,4e-05
0.0445003,9.94337e-09,4.17448e-12,0.00233359,0.0002,4e-05
0.0445004,9.85988e-09,-3.00013e-12,0.00234434,0.0002,4e-05
0.0445004,9.99666e-09,-8.48394e-12,0.0023551,0.0002,4e-05
0.0445004,9.95484e-09,-9.39967e-12,0.00236585,0.0002,4e-05
0.0445004,1.01698e-08,-1.08531e-11,0.00237661,0.0002,4e-05
0.0445005,1.01341e-08,-8.34629e-12,0.00238736,0.0002,4e-05
0.0445005,1.04869e-08,-6.39272e-12,0.00239811,0.0002,4e-05
0.0445005,1.06097e-08,-4.87257e-12,0.00240887,0.0002,4e-05
0.0445005,1.10813e-08,-3.29925e-12,0.00241962,0.0002,4e-05
0.0445005,1.12833e-08,-2.50302e-12,0.00243038,0.0002,4e-05
0.0445006,1.20118e-08,-1.70684e-12,0.00244113,0.0002,4e-05
0.0445006,1.26078e-08,-4.74698e-13,0.00245188,0.0002,4e-05
0.0445006,1.37028e-08,9.21071e-13,0.00246264,0.0002,4e-05
0.0445006,1.45842e-08,2.31568e-12,0.00247339,0.0002,4e-05
0.0445006,1.62671e-08,3.90276e-12,0.00248414,0.0002,4e-05
0.0445006,1.81767e-08,4.85725e-12,0.0024949,0.0002,4e-05
0.0445006,2.08942e-08,5.90209e-12,0.00250565,0.0002,4e-05
0.0445006,2.34508e-08,5.75937e-12,0.00251641,0.0002,4e-05
0.0445006,2.71772e-08,5.54727e-12,0.00252716,0.0002,4e-05
0.0445006,3.17358e-08,3.6277e-12,0.00253791,0.0002,4e-05
0.0445006,3.62103e-08,1.77587e-12,0.00254867,0.0002,4e-05
0.0445006,3.62217e-08,1.84495e-13,0.00255942,0.0002,4e-05
0.0445006,3.15712e-08,-1.18398e-12,0.00257018,0.0002,4e-05
0.0445006,1.43579e-08,-1.93698e-12,0.00258093,0.0002,4e-05
0.0445005,-2.62064e-09,-2.81407e-12,0.00259168,0.0002,4e-05
0.0445005,-2.07162e-08,-3.87462e-12,0.00260244,0.0002,4e-05
0.0445005,-2.84376e-08,-4.75893e-12,0.00261319,0.0002,4e-05
0.0445005,-2.98663e-08,-5.53859e-12,0.00262395,0.0002,4e-05
0.0445005,-2.72941e-08,-6.22393e-12,0.0026347,0.0002,4e-05
0.0445005,-2.25822e-08,-6.88055e-12,0.00264545,0.0002,4e-05
0.0445005,-1.85047e-08,-7.21059e-12,0.00265621,0.0002,4e-05
0.0445005,-1.46777e-08,-7.15035e-12,0.00266696,0.0002,4e-05
0.0445005,-1.19812e-08,-7.02755e-12,0.00267771,0.0002,4e-05
0.0445006,-8.15953e-09,-6.48349e-12,0.00268847,0.0002,4e-05
0.0445006,-6.60538e-09,-5.96685e-12,0.00269922,0.0002,4e-05
0.0445006,-3.91069e-09,-5.99796e-12,0.00270998,0.0002,4e-05
0.0445007,-2.52686e-09,-6.01105e-12,0.00272073,0.0002,4e-05
0.0445008,-8.74139e-10,-6.419e-12,0.00273148,0.0002,4e-05
0.0445008,1.25243e-09,-7.27051e-12,0.00274224,0.0002,4e-05
0.0445009,1.53506e-09,-8.02367e-12,0.00275299,0.0002,4e-05
0.044501,3.91774e-09,-8.46136e-12,0.00276375,0.0002,4e-05
0.044501,4.67486e-09,-8.87048e-12,0.0027745,0.0002,4e-05
0.0445011,5.79705e-09,-8.87721e-12,0.00278525,0.0002,4e-05
0.0445012,8.75485e-09,-8.21885e-12,0.00279601,0.0002,4e-05
0.0445013,8.23723e-09,-7.53415e-12,0.00280676,0.0002,4e-05
0.0445015,1.11336e-08,-6.59812e-12,0.00281751,0.0002,4e-05
0.0445016,1.30377e-08,-5.56349e-12,0.00282827,0.0002,4e-05
0.0445017,1.22869e-08,-4.58048e-12,0.00283902,0.0002,4e-05
0.0445019,1.8619e-08,-4.43471e-12,0.00284978,0.0002,4e-05
0.0445021,1.85728e-08,-4.28433e-12,0.00286053,0.0002,4e-05
0.0445023,2.09087e-08,-4.29222e-12,0.00287128,0.0002,4e-05
0.0445025,2.94335e-08,-4.5411e-12,0.00288204,0.0002,4e-05
0.0445028,2.48389e-08,-4.75174e-12,0.00289279,0.0002,4e-05
0.0445031,3.49576e-08,-5.22687e-12,0.00290355,0.0002,4e-05
0.0445035,4.09845e-08,-5.78395e-12,0.0029143,0.0002,4e-05
0.0445039,3.65966e-08,-6.35455e-12,0.00292505,0.0002,4e-05
0.0445045,6.071e-08,-7.26259e-12,0.00293581,0.0002,4e-05
0.0445051,5.46898e-08,-8.23849e-12,0.00294656,0.0002,4e-05
0.0445058,6.88981e-08,-8.85341e-12,0.00295732,0.0002,4e-05
0.0445067,9.42174e-08,-9.12808e-12,0.00296807,0.0002,4e-05
0.0445076,7.44486e-08,-9.46756e-12,0.00297882,0.0002,4e-05
0.044509,1.36454e-07,-9.50193e-12,0.00298958,0.0002,4e-05
0.0445105,1.23966e-07,-9.61964e-12,0.00300033,0.0002,4e-05
0.0445123,1.6819e-07,-1.01089e-11,0.00301108,0.0002,4e-05
0.0445144,2.1423e-07,-1.0975e-11,0.00302184,0.0002,4e-05
0.0445168,2.12541e-07,-1.23218e-11,0.00303259,0.0002,4e-05
0.0445201,3.37401e-07,-1.48504e-11,0.00304335,0.0002,4e-05
0.0445234,2.54806e-07,-1.79535e-11,0.0030541,0.0002,4e-05
0.0445283,4.93013e-07,-1.85215e-11,0.00306485,0.0002,4e-05
0.0445332,3.98019e-07,-1.93849e-11,0.00307561,0.0002,4e-05
0.0445402,5.67216e-07,-1.83123e-11,0.00308636,0.0002,4e-05
0.0445474,3.07137e-07,-1.74263e-11,0.00309712,0.0002,4e-05
0.0445575,2.26213e-07,-2.55868e-11,0.00310787,0.0002,4e-05
0.044568,-4.78942e-07,-3.79254e-11,0.00311862,0.0002,4e-05
0.0445827,-3.24513e-07,-4.91885e-11,0.00312938,0.0002,4e-05
0.0445982,-8.12356e-07,-5.90002e-11,0.00314013,0.0002,4e-05
0.0446183,-4.82689e-07,-4.01749e-11,0.00315088,0.0002,4e-05
0.0446424,-7.71352e-08,-9.06256e-12,0.00316164,0.0002,4e-05
0.044671,1.41304e-08,1.32187e-11,0.00317239,0.0002,4e-05
0.0447055,1.60796e-07,4.8841e-12,0.00318315,0.0002,4e-05
0.0447474,3.78105e-07,-8.8379e-12,0.0031939,0.0002,4e-05
0.0447978,6.68135e-07,-1.06976e-11,0.00320465,0.0002,4e-05
0.044858,4.16095e-07,-9.49129e-12,0.00321541,0.0002,4e-05
0.0449318,7.61528e-07,-9.90998e-12,0.00322616,0.0002,4e-05
0.0450203,6.42807e-07,-7.41276e-12,0.00323692,0.0002,4e-05
0.0451274,6.67517e-07,-7.3323e-12,0.00324767,0.0002,4e-05
0.0452568,8.0668e-07,-8.63198e-12,0.00325842,0.0002,4e-05
0.0454128,8.53057e-07,-8.57964e-12,0.00326918,0.0002,4e-05
0.0456026,7.73003e-07,-8.28144e-12,0.00327993,0.0002,4e-05
0.0458316,1.04922e-06,-8.449e-12,0.00329069,0.0002,4e-05
0.0461086,1.03201e-06,-3.23083e-12,0.00330144,0.0002,4e-05
0.0464378,1.33455e-06,-2.83249e-12,0.00331219,0.0002,4e-05
0.0468491,1.82739e-06,-3.14887e-12,0.00332295,0.0002,4e-05
0.0473419,2.40765e-06,-4.32323e-13,0.0033337,0.0002,4e-05
0.0479383,2.91114e-06,8.96296e-13,0.00334445,0.0002,4e-05
0.0486584,3.39131e-06,-2.44123e-12,0.00335521,0.0002,4e-05
0.0495266,3.7975e-06,-9.22494e-12,0.00336596,0.0002,4e-05
0.0505725,4.04488e-06,-2.34705e-11,0.00337672,0.0002,4e-05
0.0518315,4.51976e-06,-1.9981e-11,0.00338747,0.0002,4e-05
0.0533591,7.98587e-06,1.08206e-11,0.00339822,0.0002,4e-05
0.0551944,8.70151e-06,1.66599e-12,0.00340898,0.0002,4e-05
0.057395,9.01883e-06,-1.60537e-11,0.00341973,0.0002,4e-05
0.0600273,8.68516e-06,-3.74602e-11,0.00343049,0.0002,4e-05
0.0631672,7.38255e-06,-5.82264e-11,0.00344124,0.0002,4e-05
0.0669111,8.854e-06,-7.80666e-11,0.00345199,0.0002,4e-05
0.0713761,1.97815e-05,-9.63438e-11,0.00346275,0.0002,4e-05
0.076644,2.01437e-05,-8.55718e-11,0.0034735,0.0002,4e-05
0.082823,1.71915e-05,-8.95998e-11,0.00348425,0.0002,4e-05
0.0900214,1.17994e-05,-1.04143e-10,0.00349501,0.0002,4e-05
0.0983379,2.16812e-06,-1.70482e-10,0.00350576,0.0002,4e-05
0.107905,7.98597e-07,-2.95422e-10,0.00351652,0.0002,4e-05
0.1187,2.58082e-06,-4.79891e-10,0.00352727,0.0002,4e-05
0.130708,7.73525e-07,-7.97002e-10,0.00353802,0.0002,4e-05
0.143891,2.47207e-06,-1.25884e-09,0.00354878,0.0002,4e-05
0.158147,8.95312e-06,-1.84117e-09,0.00355953,0.0002,4e-05
0.173292,1.33775e-05,-2.50273e-09,0.00357029,0.0002,4e-05
0.189146,1.03314e-05,-3.12475e-09,0.00358104,0.0002,4e-05
0.205525,7.83849e-06,-3.57355e-09,0.00359179,0.0002,4e-05
0.222257,6.23039e-06,-3.68072e-09,0.00360255,0.0002,4e-05
0.23919,4.20852e-06,-3.57287e-09,0.0036133,0.0002,4e-05
0.256203,9.05614e-07,-3.199e-09,0.00362406,0.0002,4e-05
0.273206,-3.14691e-06,-3.08139e-09,0.00363481,0.0002,4e-05
0.29014,-6.03575e-06,-4.04092e-09,0.00364556,0.0002,4e-05
0.306957,-5.8471e-06,-8.58088e-09,0.00365632,0.0002,4e-05
0.323619,-2.63757e-06,-1.97729e-08,0.00366707,0.0002,4e-05
0.340133,6.95967e-07,-4.26593e-08,0.00367782,0.0002,4e-05
0.356578,5.63422e-07,-8.06262e-08,0.00368858,0.0002,4e-05
0.372656,-5.17239e-07,-1.28207e-07,0.00369933,0.0002,4e-05
0.388533,-2.76125e-07,-1.78981e-07,0.00371009,0.0002,4e-05
0.404209,1.27793e-06,-2.2316e-07,0.00372084,0.0002,4e-05
0.419677,2.51413e-06,-2.50092e-07,0.00373159,0.0002,4e-05
0.434936,1.04823e-06,-2.48574e-07,0.00374235,0.0002,4e-05
0.449992,-4.38408e-06,-2.14176e-07,0.0037531,0.0002,4e-05
0.46488,-8.43586e-06,-1.64775e-07,0.00376386,0.0002,4e-05
0.479693,-6.53094e-06,-1.42467e-07,0.00377461,0.0002,4e-05
0.494449,1.62267e-08,-1.75915e-07,0.00378536,0.0002,4e-05
0.507594,1.02648e-08,-2.77217e-07,0.00379612,0.0002,4e-05
0.511951,3.39566e-06,-4.39277e-07,0.00380687,0.0002,4e-05
0.486805,-2.94746e-05,-5.43371e-07,0.00381762,0.0002,4e-05
0.412626,-5.53824e-06,-3.9336e-07,0.00382838,0.0002,4e-05
0.326096,8.99503e-07,-1.57987e-07,0.00383913,0.0002,4e-05
0.255984,3.85189e-05,-6.69632e-09,0.00384989,0.0002,4e-05
0.20392,4.01834e-05,5.24639e-08,0.00386064,0.0002,4e-05
