U:0,U:1,U:2,p,Points:0,Points:1,Points:2
0.177986,1.3844e-07,6.79447e-12,14.7212,0.00121519,0.0002,4e-05
0.177984,1.32989e-07,5.32844e-12,14.7118,0.00122594,0.0002,4e-05
0.177983,1.29301e-07,4.02195e-12,14.7023,0.0012367,0.0002,4e-05
0.177985,1.30464e-07,3.0564e-12,14.6929,0.00124745,0.0002,4e-05
0.177986,1.31627e-07,2.09085e-12,14.6834,0.0012582,0.0002,4e-05
0.177987,1.33741e-07,1.27457e-12,14.674,0.00126896,0.0002,4e-05
0.177987,1.30783e-07,1.66196e-12,14.6645,0.00127971,0.0002,4e-05
0.177986,1.26661e-07,2.30295e-12,14.6551,0.00129046,0.0002,4e-05
0.177985,1.23064e-07,3.00302e-12,14.6457,0.00130122,0.0002,4e-05
0.177986,1.21764e-07,3.72236e-12,14.6362,0.00131197,0.0002,4e-05
0.177986,1.21924e-07,4.41476e-12,14.6268,0.00132273,0.0002,4e-05
0.177987,1.22466e-07,5.17209e-12,14.6174,0.00133348,0.0002,4e-05
0.177988,1.22372e-07,6.16686e-12,14.6079,0.00134423,0.0002,4e-05
0.177987,1.19226e-07,7.35091e-12,14.5985,0.00135499,0.0002,4e-05
0.177987,1.16196e-07,8.60337e-12,14.5891,0.00136574,0.0002,4e-05
0.177987,1.14209e-07,1.08726e-11,14.5796,0.0013765,0.0002,4e-05
0.177987,1.13769e-07,1.65697e-11,14.5702,0.00138725,0.0002,4e-05
0.177988,1.13329e-07,2.22669e-11,14.5607,0.001398,0.0002,4e-05
0.177988,1.14077e-07,2.83055e-11,14.5513,0.00140876,0.0002,4e-05
0.177988,1.11625e-07,2.75218e-11,14.5418,0.00141951,0.0002,4e-05
0.177988,1.09129e-07,2.66455e-11,14.5324,0.00143027,0.0002,4e-05
0.177988,1.07375e-07,2.21063e-11,14.5229,0.00144102,0.0002,4e-05
0.177988,1.06345e-07,4.51991e-12,14.5135,0.00145177,0.0002,4e-05
0.177988,1.05406e-07,-1.49181e-11,14.5041,0.00146253,0.0002,4e-05
0.177989,1.05399e-07,-3.78083e-11,14.4946,0.00147328,0.0002,4e-05
0.177989,1.03701e-07,-5.7327e-11,14.4852,0.00148403,0.0002,4e-05
0.177989,1.015e-07,-7.57398e-11,14.4757,0.00149479,0.0002,4e-05
0.177989,9.99807e-08,-8.91613e-11,14.4663,0.00150554,0.0002,4e-05
0.177989,9.8863e-08,-9.67345e-11,14.4569,0.0015163,0.0002,4e-05
0.177989,9.78101e-08,-1.0286e-10,14.4474,0.00152705,0.0002,4e-05
0.177989,9.76073e-08,-1.03103e-10,14.438,0.0015378,0.0002,4e-05
0.17799,9.62817e-08,-9.91577e-11,14.4285,0.00154856,0.0002,4e-05
0.177989,9.44735e-08,-9.43887e-11,14.4191,0.00155931,0.0002,4e-05
0.177989,9.33316e-08,-8.99112e-11,14.4097,0.00157007,0.0002,4e-05
0.17799,9.22092e-08,-8.26476e-11,14.4002,0.00158082,0.0002,4e-05
0.17799,9.10414e-08,-7.45259e-11,14.3908,0.00159157,0.0002,4e-05
0.17799,9.07636e-08,-6.71632e-11,14.3813,0.00160233,0.0002,4e-05
0.17799,8.94095e-08,-6.43505e-11,14.3719,0.00161308,0.0002,4e-05
0.17799,8.78086e-08,-6.24345e-11,14.3624,0.00162383,0.0002,4e-05
0.17799,8.69887e-08,-6.1825e-11,14.353,0.00163459,0.0002,4e-05
0.177991,8.58176e-08,-6.10506e-11,14.3436,0.00164534,0.0002,4e-05
0.177991,8.47086e-08,-6.04087e-11,14.3341,0.0016561,0.0002,4e-05
0.177991,8.43966e-08,-6.1174e-11,14.3247,0.00166685,0.0002,4e-05
0.177991,8.29476e-08,-6.18118e-11,14.3152,0.0016776,0.0002,4e-05
0.177991,8.17115e-08,-6.24674e-11,14.3058,0.00168836,0.0002,4e-05
0.177991,8.09527e-08,-6.34799e-11,14.2963,0.00169911,0.0002,4e-05
0.177992,7.97651e-08,-6.55629e-11,14.2869,0.00170987,0.0002,4e-05
0.177992,7.89931e-08,-6.85902e-11,14.2775,0.00172062,0.0002,4e-05
0.177992,7.82738e-08,-7.02655e-11,14.268,0.00173137,0.0002,4e-05
0.177992,7.69551e-08,-6.85455e-11,14.2586,0.00174213,0.0002,4e-05
0.177992,7.61796e-08,-6.92447e-11,14.2491,0.00175288,0.0002,4e-05
0.177992,7.52201e-08,-6.75211e-11,14.2397,0.00176364,0.0002,4e-05
0.177992,7.40309e-08,-6.391e-11,14.2303,0.00177439,0.0002,4e-05
0.177992,7.36762e-08,-6.20001e-11,14.2208,0.00178514,0.0002,4e-05
0.177993,7.25083e-08,-6.06585e-11,14.2114,0.0017959,0.0002,4e-05
0.177993,7.14543e-08,-5.9527e-11,14.2019,0.00180665,0.0002,4e-05
0.177993,7.08482e-08,-5.89291e-11,14.1925,0.0018174,0.0002,4e-05
0.177993,6.96985e-08,-5.85041e-11,14.1831,0.00182816,0.0002,4e-05
0.177993,6.90266e-08,-5.90769e-11,14.1736,0.00183891,0.0002,4e-05
0.177993,6.82449e-08,-5.86911e-11,14.1642,0.00184967,0.0002,4e-05
0.177993,6.70559e-08,-5.68117e-11,14.1547,0.00186042,0.0002,4e-05
0.177993,6.6587e-08,-5.61553e-11,14.1453,0.00187117,0.0002,4e-05
0.177993,6.5542e-08,-5.43623e-11,14.1359,0.00188193,0.0002,4e-05
0.177994,6.46775e-08,-5.30929e-11,14.1264,0.00189268,0.0002,4e-05
0.177994,6.41422e-08,-5.24931e-11,14.117,0.00190344,0.0002,4e-05
0.177994,6.30222e-08,-4.98647e-11,14.1075,0.00191419,0.0002,4e-05
0.177994,6.24628e-08,-4.9592e-11,14.0981,0.00192494,0.0002,4e-05
0.177994,6.1606e-08,-4.65793e-11,14.0886,0.0019357,0.0002,4e-05
0.177994,6.06755e-08,-4.21856e-11,14.0792,0.00194645,0.0002,4e-05
0.177994,6.02799e-08,-3.87249e-11,14.0697,0.00195721,0.0002,4e-05
0.177994,5.92138e-08,-3.55951e-11,14.0603,0.00196796,0.0002,4e-05
0.177995,5.86483e-08,-3.19617e-11,14.0509,0.00197871,0.0002,4e-05
