OSI,x/D
0.000435932,15.2899
0.00044832,15.2899
0.000457221,15.2899
0.000462995,15.2899
0.000466203,15.2899
0.000467228,15.2899
0.000466203,15.2899
0.000462995,15.2899
0.000457222,15.2899
0.00044832,15.2899
0.000435932,15.2899
0.000421452,15.2899
0.000414057,15.2899
0.000414057,15.2899
0.000421452,15.2899
0.000435932,15.2899
0.00044832,15.2899
0.000457221,15.2899
0.000462995,15.2899
0.000466203,15.2899
0.000467228,15.2899
0.000466203,15.2899
0.000462995,15.2899
0.000457222,15.2899
0.00044832,15.2899
0.000435932,15.2899
0.000421452,15.2899
0.000414055,15.2899
0.00042145,15.2899
0.000435931,15.2899
0.00044832,15.2899
0.000457222,15.2899
0.000462995,15.2899
0.000466203,15.2899
0.000467228,15.2899
0.000466203,15.2899
0.000462995,15.2899
0.000457222,15.2899
0.00044832,15.2899
0.000435932,15.2899
0.000421452,15.2899
0.000421452,15.2899
0.000435932,15.2899
0.00044832,15.2899
0.000457222,15.2899
0.000462995,15.2899
0.000466202,15.2899
0.000467226,15.2899
0.000466202,15.2899
0.000462995,15.2899
0.000457221,15.2899
0.000448319,15.2899
0.000435931,15.2899
0.000421451,15.2899
0.00041408,15.4024
0.000421476,15.4024
0.000435957,15.4024
0.000448345,15.4024
0.000457246,15.4024
0.00046302,15.4024
0.000466227,15.4024
0.000467253,15.4024
0.000466227,15.4024
0.00046302,15.4024
0.000457246,15.4024
0.000448345,15.4024
0.000435957,15.4024
0.000421476,15.4024
0.00041408,15.4024
0.00041408,15.4024
0.000421476,15.4024
0.000435957,15.4024
0.000448345,15.4024
0.000457246,15.4024
0.00046302,15.4024
0.000466227,15.4024
0.000467253,15.4024
0.000466227,15.4024
0.00046302,15.4024
0.000457246,15.4024
0.000448345,15.4024
0.000435957,15.4024
0.000421476,15.4024
0.000414079,15.4024
0.000421475,15.4024
0.000435957,15.4024
0.000448345,15.4024
0.000457246,15.4024
0.00046302,15.4024
0.000466227,15.4024
0.000467253,15.4024
0.000466227,15.4024
0.00046302,15.4024
0.000457246,15.4024
0.000448345,15.4024
0.000435957,15.4024
0.000421476,15.4024
0.000421476,15.4024
0.000435957,15.4024
0.000448345,15.4024
0.000457246,15.4024
0.00046302,15.4024
0.000466227,15.4024
0.000467252,15.4024
0.000466227,15.4024
0.00046302,15.4024
0.000457245,15.4024
0.000448343,15.4024
0.000435954,15.4024
0.000421474,15.4024
0.000414102,15.5148
0.000421498,15.5148
0.000435979,15.5148
0.000448368,15.5148
0.00045727,15.5148
0.000463044,15.5148
0.000466251,15.5148
0.000467277,15.5148
0.000466251,15.5148
0.000463044,15.5148
0.00045727,15.5148
0.000448368,15.5148
0.000435979,15.5148
0.000421498,15.5148
0.000414102,15.5148
0.000414102,15.5148
0.000421498,15.5148
0.000435979,15.5148
0.000448368,15.5148
0.00045727,15.5148
0.000463044,15.5148
0.000466251,15.5148
0.000467277,15.5148
0.000466251,15.5148
0.000463044,15.5148
0.00045727,15.5148
0.000448368,15.5148
0.000435979,15.5148
0.000421498,15.5148
0.000414102,15.5148
0.000421498,15.5148
0.000435979,15.5148
0.000448368,15.5148
0.00045727,15.5148
0.000463044,15.5148
0.000466251,15.5148
0.000467277,15.5148
0.000466251,15.5148
0.000463044,15.5148
0.00045727,15.5148
0.000448368,15.5148
0.000435979,15.5148
0.000421498,15.5148
0.000421498,15.5148
0.000435979,15.5148
0.000448368,15.5148
0.00045727,15.5148
0.000463044,15.5148
0.000466251,15.5148
0.000467276,15.5148
0.00046625,15.5148
0.000463043,15.5148
0.000457268,15.5148
0.000448366,15.5148
0.000435977,15.5148
0.000421497,15.5148
0.000414125,15.6272
0.00042152,15.6272
0.000436001,15.6272
0.00044839,15.6272
0.000457293,15.6272
0.000463067,15.6272
0.000466274,15.6272
0.000467299,15.6272
0.000466274,15.6272
0.000463067,15.6272
0.000457293,15.6272
0.00044839,15.6272
0.000436001,15.6272
0.00042152,15.6272
0.000414125,15.6272
0.000414125,15.6272
